,Address,Business Name,Email,Phone Number,Website
172," The Tower Studio, Fourth Avenue, Hornbean Park, Harrogate, North Yorkshire, HG2 8QT                                 ",GSSARCHITECTURE,gss@gotch.co.uk,01536 513165,www.gssarchitecture.com
173," 2nd Floor, TWO, Jesmond Three Sixty, Newcastle, NE2 1DB                                 ",GT3 Architects Ltd,info@gt3architects.com,0191 281 7700,www.gt3architects.com
174," 3 Futura House, 169 Grange Road, London, SE1 3BN                                 ",Guarnieri Architects Ltd,mail@guarnieri.co.uk,0207 064 8026,www.guarnieri.co.uk
175," 17 Rosebery Avenue, LONDON, EC1R 4SP                                 ",Gumuchdjian Architects,philip@gumuchdjian.com,020 7837 1800,www.gumuchdjian.com
176," Gundry & Ducker Architecture, 3 Garrick Street, LONDON, WC2E 9BF                                 ",Gundry & Ducker,cd@gundryducker.com,0203 417 4895,www.gundryducker.com
177," 6 Station Terrace, Twyford, Berkshire, RG10 9NE                                 ",Guttfield Architecture,mail@guttfieldarchitecture.co.uk,01189076355,www.guttfieldarchitecture.co.uk
178," The Tramway Stables, Rampart Road, HYTHE, Kent, CT21 5BG                                 ",Guy Hollaway Architects Limited,kent@guyhollaway.co.uk,01303 260515,www.guyhollaway.co.uk
179," Unit S7A, Shakespeare Business Centre,, Coldharbour Lane, London, SW9 8RR                                 ",Guy Logan Architects,matt.guy@guyloganarchitects.com,0207 326 4638,www.guyloganarchitects.com
180," 129 Mile End Road, LONDON, E1 4BG                                 ",Guy Piper Architects,hello@guypiper.com,0208 004 6644,www.guypiper.com
181," The Crossing Cottages, 74 Nethercote Road, Tackley, KIDLINGTON, Oxfordshire, OX5 3AT                                 ",Guy Roberts,info@guyr.co.uk,07971 970311,www.guyr.co.uk
182," 318 Kensal Road, LONDON, W10 5BZ                                 ",Guy Stansfeld Architects Limited,guy@stansfeld.com,020 8962 8666,www.stansfeld.com
183," The Coach House, 29 Kedleston Road, Derby, DE22 1FL                                 ",Guy Taylor Associates,derby@guytaylorassociates.co.uk,+44 (0)1332 557557,www.guytaylorassociates.co.uk
184," Ladford Mill, Shebbear, BEAWORTHY, Devon, EX21 5QY                                 ",GW Architects Ltd,gareth@gw-architects.co.uk,01409 281 362,www.gw-architects.co.uk
185," Fairfield House, 49 Fairfield Road, BURGESS HILL, West Sussex, RH15 8QB                                 ",GWP Architects LIMITED,mail@gwparchitects.co.uk,01444 239019,www.gwparchitects.co.uk
186," Bracken House, 1 Lidgett Lane, LEEDS, West Yorkshire, LS8 1PQ                                 ",GWP Architecture Ltd,architecture@gwp-arch.com,0113 266 6044,www.gwp-arch.com
187," GWP Architecture Ltd, 46 Barton Arcade, MANCHESTER, M3 2BH                                 ",GWP Architecture Ltd,architecture@gwp-arch.com,0161 962 4882,www.gwp-arch.com
188," 71-75 Shelton Street, Covent Garden, London, WC2H 9JQ                                 ",GWP Architecture Ltd,r.townend@gwp-arch.com,020 7470 8770,www.gwp-arch.com
189," H + A, Tameem House, Level 16, PO BOX 500137, DUBAI                                 ",H + A,info@h-a.global,+971 55 948 4409,www.h-a.global
190," 12 Ladderstile Ride, KINGSTON UPON THAMES, Surrey, KT2 7LP                                 ",H2architecture,mark@h2design.org,0208 974 8731,www.h2architecture.co.uk
191," Ambry Barn, Iris Court, St. Lawrence Road, Oxford, Oxfordshire, OX1 5AZ                                 ",Habitar Architects Ltd,projects@habitararchitects.co.uk,01865 327883,www.habitararchitects.co.uk
192," 22-30 Hopefield Avenue, BELFAST, County Antrim, BT15 5AP                                 ",Hackett Architects,mark@hackettarchitects.com,07595221419,www.hackettarchitects.com
193," 1-2 Paris Garden, LONDON, SE1 8ND                                 ",Haddon Few Montuschi,,020 3196 6011,www.hfm.uk.com
194," Broomgrove Lodge, 13 Broomgrove Road, Sheffield, South Yorkshire, S10 2LZ                                 ",Hadfield Cawkwell Davidson,simon.mcdonald@hcd.co.uk,0114 2668181,www.hcd.co.uk
195," 1 Christchurch Lane, Hadley Green, BARNET, Hertfordshire, EN5 4PL                                 ",Hadley Design Associates Ltd,mail@hadleydesign.co.uk,020 8441 0803,
196," 29 Lowther Street, KENDAL, Cumbria, LA9 4DH                                 ",Haigh Architects Ltd,info@haigharchitects.co.uk,01539 720560,www.haigharchitects.co.uk
197," Tankerton Works, 12 Argyle Walk, LONDON, WC1H 8HA                                 ",Haines Phillips Architects,office@hainesphillips.co.uk,020 7833 9324,www.hainesphillips.co.uk
198," 46-48 Foley Street, LONDON, W1W 7TY                                 ",HAL Architects Ltd,info@halarchitects.co.uk,020 7580 2359,www.halarchitects.co.uk
199," Hale Architecture Ltd, 22c Leathermarket Street, LONDON, SE1 3HP                                 ",Hale Architecture Ltd,phartley@hale-adm.com,020 7740 0950,www.hale-adm.com
200," 98b Tollington Park, LONDON, N4 3RB                                 ",Knott Architects,mail@knottarchitects.co.uk,020 7263 8844,www.knottarchitects.co.uk
201," Knox & Clayton, 2a Wallace Avenue, LISBURN, County Antrim, BT27 4AA                                 ",Knox & Clayton,architects@knox-clayton.co.uk,02892 674312,www.knox-clayton.co.uk
202," Knox Bhavan Architects LLP, 69 Choumert Road, London, SE15 4AR                                 ",Knox Bhavan Architects LLP,mail@knoxbhavan.com,0207 635 9911,www.knoxbhavan.com
203," Tremough Innovation Centre, Penryn Campus, Penryn, Cornwall, TR10 9TA                                 ",Koha Architects Limited,derekjackson@kohaarchitects.com,01326 567 212,www.kohaarchitects.com
204," Kokorelia Architects, 14A Coolhurst Road, London, N8 8EL                                 ",Kokorelia Architects,alexia@kokorelia.com,020 7625 7005,www.kokorelia.com
205," Konishi Gaffney Architects Ltd, 88 Constitution Street, EDINBURGH, EH6 6RP                                 ",Konishi Gaffney Architects,kieran@konishigaffney.com,0131 555 4939,www.konishigaffney.com
206," 71-75 Shelton Street, London, WC2H 9JQ                                 ",KORR Architecture,info@korr.uk,"
info@korr.uk
",www.korr.uk
207," The Studio, 15 Lloyd Close, Hove, East Sussex, BN3 6LZ                                 ",Koru Architects,map@koruarchitects.co.uk,01273 204065,www.koruarchitects.co.uk
208," Canton House, 435-451 Cowbridge Road East, CARDIFF, CF5 1JH                                 ",kotzmuth-williams architects,office@kwarchitects.com,02921780001,www.kwarchitects.com
209," KPF - Kohn Pedersen Fox Associates (International) PA, 7a Langley Street, London, WC2H 9JA                                 ",KPF - Kohn Pedersen Fox Associates (International) PA,info@kpf.com,020 3119 5300,www.kpf.com
210," 170 Upper New Walk, Leicester, Leicestershire, LE1 7QA                                 ",KPW Architects,mail@kpw-architects.co.uk,0116 255 2279,www.kpw-architects.co.uk
211," 34 Paradise Lane, KETTERING, Northamptonshire, NN15 6LX                                 ",KR.eativ: Architects Ltd,,01536 522586,www.kreativarchitects.co.uk/
212," 38 Albert Street, London, NW1 7NU                                 ",Kralform Architecture & Design,mail@kralform.com,"
mail@kralform.com
",www.kralform.com
213," 20 Queen Street, Londonderry, County Londonderry, BT48 7EQ                                 ",Kriterion Conservation Architects,derry@kriterion.co.uk,028 7137 0017,www.kriterion.co.uk
214," Hamilton House, 3 Joy Street, Belfast, County Antrim, BT2 8LE                                 ",Kriterion Conservation Architects,belfast@kriterion.co.uk,028 9024 3911,www.kriterion.co.uk
215," Unit 75A Regent Studio, 8 Andrews Road, London, E8 4QN                                 ",Kruszelnicki Leetch Architects,office@klarchitects.co.uk,02039030762,
216," 14 Greenland Street, Camden, LONDON, NW1 0ND                                 ",KSR Architects LLP,mail@ksrarchitects.com,020 7692 5000,www.ksrarchitects.com
217," 6th Floor, 1 James Street, LONDON, W1U 1DR                                 ",KSS Design Group Ltd,info@kssgroup.com,020 7907 2222,www.kssgroup.com
218," Bermondsey Island, 2 Long Walk, London, SE1 3NQ                                 ",KTB Architecture,info@ktbarchitecture.com,0207 7402765,www.ktbarchitecture.com
219," 20 Foxlands Crescent, DAGENHAM, Essex, RM10 7TB                                 ",KTICIC Architects,gabrielk@kticic.com,08445043919,www.kticic.com
220," No. 31A, Lorong Taman Ipoh 1,, Taman Ipoh Selatan,, 31400 Ipoh, Perak                                 ",Kuee Architecture,shyuan@kueearch.com,605-54112816,www.kueearch.com
221," The Barn, Butchers Wick, Sewell, DUNSTABLE, Bedfordshire, LU6 1RP                                 ",Kyle Smart Associates Limited,kylesmart@kylesmartassociates.co.uk,01582 690 222,www.kylesmartassociates.co.uk
222," Clock Tower House, Lindfield Enterprise Park, Lewes Road, Lindfield, HAYWARDS HEATH, West Sussex, RH16 2LH                                 ",L M Associates,info@lm-associates.co.uk,01444 484711,www.lm-associates.co.uk/
223," Tabley Street, Kings Dock Mill, Liverpool, L1 8DB                                 ",L.A.G. Prichard,jp@lagp.co.uk,"
jp@lagp.co.uk
",www.lagp.co.uk
224," 42 Hertford Avenue, LONDON, SW14 8EQ                                 ",L+ Architects,pablolambrechts@lplusarchitects.com,07816164122,www.lplusarchitects.com
225," 76 Portland Place, London, Greater London, W1B 1NT                                 ",L1 Architecture,lisa@harmey.net,"
lisa@harmey.net
",harmey.net/
226," LA architects Ltd, The Studio, Brighton Road, Housedean, LEWES, East Sussex, BN7 3JW                                 ",LA architects Ltd,elizabeth.adams@la-architects.co.uk,01273 878440,www.la-architects.co.uk
227," Suite 1, Talbot House, 34 Staple Gardens, Winchester, SO23 8SR                                 ",LA Hally Architect,design@lahally.com,01962 843 500,www.lahally.com
228," LAB Architects Ltd, 111 Munster Road, Fulham, LONDON, SW6 5RQ                                 ",LAB Architects Ltd,claire@labarchitects.com,020 7351 1446,www.labarchitects.com
229," The Design Studio, Guardhouse, Royal William Yard, Plymouth, Devon, PL1 3RP                                 ",Lacey Hickie Caley,gdevine@ply.lhc.net,01752 669368,www.lhc.net
230," Lacey Hickie Caley, The Design Studio, Emperor Way, Exeter Business Park, EXETER, Devon, EX1 3QS                                 ",Lacey Hickie Caley,postmaster@lhc.net,01392 444334,www.lhc.net
231," 11 Church Street, Windermere, LA23 1AQ                                 ",Lakes Architect Ltd,chris@lakesarchitect.co.uk,015394 42224,www.lakesarchitect.co.uk
232," 94 University Street, BELFAST, BT7 1HE                                 ",LAM architects Ltd,info@lamarchitects.co.uk,02890940914,www.lamarchitects.co.uk
233," 1 High Bungay Road, Loddon, NORWICH, Norfolk, NR14 6JT                                 ",Lambert Bardsley Reeve,design@lambertbardsleyreeve.co.uk,01508 522952,www.lambertbardsleyreeve.co.uk
234," The Woodlands, Wingrove, Rowlands Gill, Northumberland, NE39 1DT                                 ",Lancaster Associates,charlesown@aol.com,01207 545 230,www.lancaster-associates-chartered-architects.co.uk/
235," 13 Ensign House, Admirals Way, Canary Wharf, London, E14 9XQ                                 ",Landmark Architecture,hugo.morales@landmarkarchitects.co.uk,020 3150 0505,www.landmarkarchitects.co.uk
236," The Pillars, Slade Oak Lane, Gerrards Cross, Buckinghamshire, SL9 0QE                                 ",Landmark Architecture and Planning,jhonny@landmark-group.co.uk,01895832560,www.landmark-group.co.uk
237," 13.2.2 The Leather Market, Weston Street, LONDON, SE1 3ER                                 ",Landolt + Brown,abrown@landoltandbrown.com,020 7357 9547,www.landoltandbrown.com
238," 30/41 Provost Street, London, N1 7NB                                 ",Langstaff Day Architects,office@langstaffday.co.uk,"
office@langstaffday.co.uk
",www.langstaffday.co.uk
239," Langtry-Langton Architects, 8 Oak Mount, Manningham, BRADFORD, West Yorkshire, BD8 7BD                                 ",Langtry-Langton Architects,enquiries@langtry-langton.co.uk,01274 498226,www.langtry-langton.co.uk
240," Brettingham House, 98 Pottergate, NORWICH, Norfolk, NR2 1EQ                                 ",Lanpro Architecture + Urban Design,info@lanproservices.co.uk,01603 631 319,www.pro-works.com
241," 3 Hill House Close, Church Hill, Winchmore Hill, LONDON, N21 1LG                                 ",Lanyon-Hogg Architects Ltd,post@lanyon-hogg.com,020 8882 1849,www.lanyon-hogg.com
242," 123 New London Road, CHELMSFORD, Essex, CM2 0QT                                 ",LAP Architects and Interior Designers Ltd,admin@lap-architects.co.uk,01245 769755,www.lap-architects.com
243," The Studio, Building F5, Culham Science Centre, Culham, OX14 3EB                                 ",lapd,officeculham@lapdarchitects.co.uk,01865 407722,www.lapdarchitects.co.uk
244," 30 The Plantation, Blackheath, London, SE3 0AB                                 ",Larissa Johnston Architects,larissa@larissajohnston.com,020 3417 8689,www.larissajohnston.com/
245," Summit House, Riparian Way, Cross Hills, KEIGHLEY, West Yorkshire, BD20 7BW                                 ",LARK Architects,info@larkarchitects.co.uk,01535 630772,www.larkarchitects.co.uk
246," 12 St. Marys Gate, DERBY, DE1 3JR                                 ",Lathams,,01332 365777,www.lathamarchitects.co.uk
247," 15 Weller Street, LONDON, SE1 1QU                                 ",Latitude Architects and Designers Ltd,design@latitudearchitects.com,020 7234 0235,www.latitudearchitects.com
248," 6 Park Grove, CARDIFF, South Glamorgan, CF10 3BN                                 ",Latter Davies,admin@latterdavies.co.uk,029 20231833,www.latterdavies.co.uk
249," Flat 46, Castlemaine, Culvert Road, London, SW11 5BG                                 ",Laura Muner Architect,laura.muner@gmail.com,07791075281,www.lauramunerarchitect.co.uk/
250," Nicholas Hare Architects LLP, 3 Barnsbury Square, LONDON, N1 1JL                                 ",Nicholas Hare Architects LLP,,020 7619 1670,www.nicholashare.co.uk
251," The Christies, 5 Wherry Quay, IPSWICH, Suffolk, IP4 1AS                                 ",Nicholas Jacob Architects LLP,nicholas.jacob@njarchitects.co.uk,01473 221150,www.njarchitects.co.uk
252," 10 Tarleton Gardens, Forest Hill, LONDON, SE23 3XN                                 ",Nicholas Jamieson Architect,nj@nicholasjamieson.com,07471 685 658,www.nicholasjamieson.com
253," Studio 210, Regent Studios, 1 Thane Villas, London, N7 7PH                                 ",Nicholas Kirk Architects,info@nicholaskirkarchitects.co.uk,0203 290 5033,www.nicholaskirkarchitects.co.uk
254," 34A Rosslyn Hill, Hampstead, London, NW3 1NH                                 ",Nicholas Lee Architects Ltd,nick@nleearchitects.com,020 7435 9315,www.nleearchitects.com
255," 76 Brewer Street, London, W1F 9TX                                 ",Nicholas Szczepaniak Architects,nicholas@nicholasszczepaniak.com,020 7287 4424,www.nicholasszczepaniak.com
256," 25 Saxbys Lane, LINGFIELD, Surrey, RH7 6DL                                 ",Nicholas Timms Associates,nick.timms@ntassoc.co.uk,01342 834657,
257," Pond House, Northend, HENLEY-ON-THAMES, Oxfordshire, RG9 6LG                                 ",Nichols Brown Webber LLP,enquiries@nbwarchitects.co.uk,01491 638536,www.nbwarchitects.co.uk
258," Nicholson Nairn Architects, Bishops Court, Rectory Lane, Whickham, NEWCASTLE UPON TYNE, Tyne And Wear, NE16 4PA                                 ",Nicholson Nairn Architects,admin@nicholsonnairn.co.uk,0191 420 3090,www.nicholsonnairn.com
259," First Floor, 6 Baker's Yard, London, EC1R 3DD                                 ",Nick Baker Architects,info@nickbakerarchitects.com,020 7490 0644,www.nickbakerarchitects.com
260," Floor 3, Calls Landing, 36-38 The Calls, LEEDS, LS2 7EW                                 ",Nick Brown : Architects,nick.brown@nickbrownarchitects.com,0113 323 5733,www.nickbrownarchitects.co.uk
261," Studio 1.09, Canterbury Court, 1-3 Brixton Road, LONDON, SW9 6DE                                 ",Nick Leith-Smith Architecture + Design,nick@nickleithsmith.com,020 7351 1030,www.nickleithsmith.com
262," Nick Shipp Architects, 40 Belvedere, BATH, BA1 5HR                                 ",Nick Shipp Architects Limited,design@nickshipp.com,01225 312655,www.nickshipp.com
263," g2 Hoxton works, 128 Hoxton Street, London, N1 6SH                                 ",Nick Willson Architects Ltd,nick@nickwillsonarchitects.com,020 7012 1674,www.nickwillsonarchitects.com
264," Great Western Studios, 65 Alfred Road, LONDON, W2 5EU                                 ",Nico Warr Architects,nico@nicowarr.com,02032899333,www.nicowarr.com
265," Suite 108, 1st Floor, Fort Dunlop, Fort Parkway, BIRMINGHAM, B24 9FD                                 ",Nicol Thomas Ltd,w9@nicolthomas-birm.co.uk,01902 398 222,www.nicolthomas-birm.co.uk/
266," The Long Barn Studio, Limbersey Lane, Maulden, BEDFORD, Bedfordshire, MK45 2EA                                 ",Nicolas Tye Architects Ltd,info@nicolastyearchitects.com,01525 406677,www.nicolastyearchitects.com
267," 6 Myrddin Crescent, Carmarthen, Dyfed, SA31 1DX                                 ",Nicole Jones Architects,n@nicolejones-architect.co.uk,01267 230 762,www.nicolejones-architect.co.uk/
268," 111 King Street, Broughty Ferry, DUNDEE, DD5 1EL                                 ",Nicoll Russell Studios Ltd,design@nrsarchitects.com,01382 778966,www.nrsarchitects.com
269," Little Folly, Mutton Dingle, New Radnor, PRESTEIGNE, Powys, LD8 2TL                                 ",Nidus Architects,hello@nidusarchitects.co.uk,01544 350550,www.nidusarchitects.co.uk
270," Deck 2, The Waterscape, 42 Leeds & Bradford Road, Kirkstall, LEEDS, West Yorkshire, LS5 3EG                                 ",Niemen Architects,shayne@niemen.co.uk,0113 239 5400,www.niemen.co.uk
271," Nigel Bird Architects, Henry Wood House, 2 Riding House Street, London, W1W 7FA                                 ",Nigel Bird Architects,nigel.bird@nigelbirdarchitects.co.uk,0203 770 7571,www.nigelbirdarchitects.co.uk
272," 33 Trinity Church Road, Barnes, LONDON, SW13 8ET                                 ",Nigel Hartley Architect and Town Planner,nigel.h@nigelhartley.co.uk,020 8255 8560,www.nigelhartley.co.uk
273," Unit 4 The Old Stable House, 53 - 55 North Cross Road, London, London, SE22 9ET                                 ",Nimtim Architects,contact@nimtim.co.uk,020 8693 0878,www.nimtim.co.uk
274," Units 5 & 6, 8 Orsman Road, London, N1 5QJ                                 ",Nissen Richards Studio Ltd,pippa.n@nissenrichardsstudio.com,0207 870 8899,www.nissenrichardsstudio.com
275," Business Central, 2 Union Square, Central Park, DARLINGTON, DL1 1GL                                 ",Niven Architects,creatingspaces@nivenarchitects.co.uk,01325 260055,www.nivenarchitects.co.uk
276," Trafford House, 8th Floor, Chester Road, Stretford, MANCHESTER, M32 0RS                                 ",NJSR Chartered Architects LLP,manchester@njsr.co.uk,0161 873 8770,www.njsr.co.uk
277," 57-59 Hoghton Street, SOUTHPORT, Merseyside, PR9 0PG                                 ",NJSR Chartered Architects LLP,southport@njsr.co.uk,01704 531252,www.njsr.co.uk
278," Sovereign House, Stockport Road, Cheadle, SK8 2EA                                 ",NK Architects,info@nk-architects.com,0161 850 1045,www.nk-architects.com
279," 4 Penn Way, Chorleywood, HERTFORDSHIRE, WD3 5HQ                                 ",Noades Architects Ltd,matt@noadesarchitects.com,07515364190,www.noadesarchitects.com
280," 3 Spain Buildings, 28 The Spain, Petersfield, Hampshire, GU32 3LA                                 ",Noel Wright Architects,studio@noelwrightarchitects.co.uk,01730 264678,www.noelwrightarchitects.co.uk
281," 14 Guinea Street, Redcliffe, Bristol, BS1 6SX                                 ",NOMA Architects Ltd,mail@noma-uk.com,0117 929 2041,www.noma-uk.com
282," 26 Glenesk Road, LONDON, SE9 1AG                                 ",Norman Architects Ltd,admin@normanarchitects.com,020 8859 9641,www.normanarchitects.com
283," 3 Bon-Accord Crescent, Aberdeen, AB11 6DH                                 ",NORR Consultants Ltd,ukinfo.norr.com,01224 586277,www.norr.com
284," NORR Consultants Ltd, Percy House, 8th Floor, Percy Street, NEWCASTLE UPON TYNE, Tyne And Wear, NE1 4PW                                 ",NORR Consultants Ltd,ukinfo@norr.com,0191 222 1116,www.norr.com
285," 2nd Floor, Tennyson House, 159-165 Great Portland Street, LONDON, W1W 5PA                                 ",NORR Consultants Ltd,ukinfo@norr.com,020 7580 0400,www.norr.com
286," The Walker Building, 58 Oxford Street, Birmingham, West Midlands, B5 5NR                                 ",NORR Consultants Ltd,ukinfo@norr.com,0121 616 1448,www.norr.com
287," 5 Longman Road, Inverness, IV1 1RY                                 ",NORR Consultants Ltd,ukinfo@norr.com,01463 729307,www.norr.com
288," 1st Floor, Victoria Wharf, Sovereign Street, Leeds, West Yorkshire, LS1 4BA                                 ",NORR Consultants Ltd,ukinfo@norr.com,0113 3884 330,www.norr.com
289," Suite 1A, Skypark 5, 45 Finnieston Street, Glasgow, G3 8JU                                 ",NORR Consultants Ltd,ukinfo@norr.com,0141 204 6500,www.norr.com
290," 32 Bayston Road, Stoke Newington, London, N16 7LT                                 ",North Architects,info@northarchitects.co.uk,020 3286 6817,www.northarchitects.co.uk
291," The Chapel, Mill Moor Road, Meltham, HOLMFIRTH, West Yorkshire, HD9 5JU                                 ",Northern Design Partnership,enquiries@northerndesignpartnership.co.uk,01484 854848,www.northerndesignpartnership.co.uk
292," 4 Staithes, The Watermark, Gateshead, NE11 9SN                                 ",Northpoint Architecture Ltd,info@northpoint-architects.com,"
info@northpoint-architects.com
",www.northpoint-architects.com
293," Norton Ellis Architects, 42 Colebrooke Row, LONDON, N1 8AF                                 ",Norton Ellis Architects,rel@nortonellis.co.uk,020 7226 2004,www.nortonellis.co.uk
294," Unit 7, Harland Works, 70 John Street, SHEFFIELD, S2 4QU                                 ",Norton Mayfield Architects Ltd,,0114 270 0014,www.nortonmayfield.co.uk/
295," Unit 121, Screenworks, 22 Highbury Grove, London, N5 2EF                                 ",Novak Hiles Architects,,"
www.novakhilesarchitects.com
",www.novakhilesarchitects.com
296," Noviun, Corn Exchange, Baffins Lane, CHICHESTER, West Sussex, PO19 1BF                                 ",Noviun,info@noviun.com,01243558750,noviun.com
297," 96 King Street, CAMBRIDGE, CB1 1LN                                 ",NP Architects,info@nparchitects.co.uk,01223 755596,www.nparchitects.co.uk
298," Avocet House, Trinity Park, Trinity Way, LONDON, E4 8TD                                 ",NPS (Group) London Limited,chingford@nps.co.uk,0208 523 6262,www.nps.co.uk
299," Level 5, Gateway Plaza, Sackville Street, Barnsley, S70 2RD                                 ",NPS Barnsley,Barnsley@NPS.co.uk,01226 773651,www.nps.co.uk
300," 25 Grosvenor Road, PRENTON, Merseyside, CH43 1TJ                                 ",Robert W Graham Partnership,templar5412@virginmedia.com,01512002646,
301," Roberts Limbrick Ltd, The Carriage Building, Bruton Way, Gloucester, Gloucestershire, GL1 1DG                                 ",Roberts Limbrick Ltd,mail@robertslimbrick.com,03333405500,www.robertslimbrick.com
302," 13 Cathedral Road, CARDIFF, CF11 9HA                                 ",Robertson Francis Partnership,info@rfparchitects.com,029 2039 9000,
303," Hawk Works, 105 Mary Street, Sheffield, S1 4RT                                 ",Robin Ashley Architects LLP,david@raarchitects.co.uk,0114 258 7450,www.raarchitects.co.uk
304," Robin Hill Chartered Architect Ltd, 93 Ashley Road, ALTRINCHAM, Cheshire, WA14 2LX                                 ",Robin Hill Chartered Architect Ltd,RobinHillRHCA@btinternet.com,0161 928 7143,
305," Castle Barn, 2 Castle Lodge, Broadwater Lane, Copsale, HORSHAM, West Sussex, RH13 6QJ                                 ",Robin Nugent Architects,robin@robinnugentarchitects.co.uk,01403 734858,www.robinnugentarchitects.co.uk
306," 45 Welbeck Street, London, W1G 8DZ                                 ",Robin Walker Architects,info@robin-walker.co.uk,020 7729 9224,www.robin-walker.co.uk
307," St Andrews Business Centre, Queen's Lane, Bromfield Industrial Estate, MOLD, Flintshire, CH7 1HE                                 ",Robin Wolley Chartered Architect,info@robinwolleyarchitect.co.uk,01352 706201,www.robinwolleycharteredarchitect.co.uk
308," 84-94 Great Patrick Street, BELFAST, County Antrim, BT1 2LU                                 ",Robinson McIlwaine LLP,admin@rmi.uk.com,028 9024 8922,www.rmi.uk.com
309," The Garden House, Horns Road, Hawkhurst, Cranbrook, Kent, TN18 4QU                                 ",Robinson Waters Architects,architects@robinsonwaters.co.uk,01622763233,www.robinsonwaters.co.uk
310," The Bungalow, Driffield Road, Wansford, East Yorkshire, YO25 8NU                                 ",Robson Architecture,david@robsonarchitecture.com,"
david@robsonarchitecture.com
",
311," Unit 8, Northfields Prospect Business Centre, Northfields, Wandsworth, LONDON, SW18 1PE                                 ",Robson Warren Architects,architects@robsonwarren.co.uk,020 8871 9349,www.robsonwarren.co.uk
312," The Old School, Exton Street, London, SE1 8UE                                 ",Rock Townsend Architects LLP,studio@rocktownsend.co.uk,020 7261 9577,www.rocktownsend.co.uk
313," 4 Oakley Hay Lodge, Great Fold Road, CORBY, Northamptonshire, NN18 9AS                                 ",Rockingham Design Partnership,rdp@rockinghamdesign.co.uk,01536 741062,www.rockinghamdesign.co.uk
314," Rodic Davidson Architects, 1 Pied Bull Yard, London, WC1A 2AE                                 ",Rodic Davidson Architects,enquiries@rodicdavidson.co.uk,020 7043 3551,www.rodicdavidson.co.uk
315,,Rodney Melville & Partners Limited,,0117 316 9451,www.rmpuk.com
316," Rodney Melville + Partners Limited, 10 Euston Place, LEAMINGTON SPA, Warwickshire, CV32 4LJ                                 ",Rodney Melville + Partners Limited,architects@rmpuk.com,01926 881311,www.rmpuk.com
317," Bricknells Barn, 32 Lime Avenue, Eydon, DAVENTRY, Northamptonshire, NN11 3PG                                 ",Roger Coy Partnership,enquiries@rogercoy.co.uk,01327 260585,www.rogercoy.co.uk
318," 93 Loxley Road, Stratford-Upon-Avon, Warwickshire, CV37 7DR                                 ",Roger Davis Chartered Architect,roger@rogerdavisarchitect.com,01789298339,www.rogerdavisarchitect.com
319," 55 The Old High Street, FOLKESTONE, Kent, CT20 1RN                                 ",Roger Joyce Associates,,01303 246400,www.rogerjoyceassociates.co.uk
320," Union Chapel, Compton Avenue, LONDON, N1 2XD                                 ",Roger Mears Architects,rma@rmears.co.uk,020 7359 8222,www.rmears.co.uk
321," Brambles, Ashprington, TOTNES, Devon, TQ9 7UL                                 ",Roger Robinson Chartered Architect,design@rogerrobinson.co.uk,01803 732 803,www.rogerrobinson.co.uk
322," 17 Gordon Terrace, PLYMOUTH, PL4 6EP                                 ",Rogers & Jones Architects Ltd,admin@rogersandjones.co.uk,01752 424 362,www.rogersandjones.co.uk
323," The Studio, Goldney Place, 63-65 Goldney Road, Maida Vale, London, W9 2AR                                 ",ROH Architects Ltd,robert@roh-architects.com,020 7372 7576,www.roh-architects.com
324," 99 Westbourne Park Villas, LONDON, W2 5ED                                 ",Roland Cowan Architects,info@rca.uk.com,020 7229 5599,www.rca.uk.com
325," Rolfe Judd Architecture, Old Church Court, Claylands Road, LONDON, SW8 1NZ                                 ",Rolfe Judd Architecture,info@rolfe-judd.co.uk,020 7556 1500,www.rolfe-judd.co.uk
326," Bickland Business Centre, Tregoniggie Industrial Estate, FALMOUTH, Cornwall, TR11 4RS                                 ",Rosemary A Lynch Chartered Architect,studiolynch@gmail.com,01326 373715,www.rl-architects.co.uk
327," Ross Thain & Co, 20 Belton Street, Stamford, Lincolnshire, PE9 2EF                                 ",Ross Thain & Co,mail@rossthain.co.uk,01780 482483,www.rossthain.co.uk
328," 15 Dunloe Avenue, London, N17 6LB                                 ",Rowlands Architecture Ltd,info@rowlandsarchitecture.com,07725557198,www.rowlandsarchitecture.com
329," Arquen House, 4-6 Spicer Street, ST. ALBANS, Hertfordshire, AL3 4PQ                                 ",Roy Darby Architect Ltd,roy@roydarby.co.uk,01727 831215,www.roydarby.co.uk
330," 26 Store Street, LONDON, WC1E 7BT                                 ",Roz Barr Architects,info@rozbarr.com,0207 253 5336,www.rozbarr.com
331," Unit 9, Dove Centre, 109 Bartholomew Road, LONDON, NW5 2BJ                                 ",Rozeman Architects,studio@rozeman.co.uk,0207 4854771,www.rozeman.co.uk
332," Strathfield House, Chilton Road, Upton, DIDCOT, Oxfordshire, OX11 9JL                                 ",RPA Architects Ltd,admin@rpaarchitects.co.uk,01235 850873,www.rpaarchitects.co.uk
333," RPP Architects Ltd, 155-157 Donegall Pass, Belfast, County Antrim, BT7 1DT                                 ",RPP Architects Ltd,info@rpparchitects.co.uk,028 9024 5777,www.rpparchitects.co.uk
334," The Watershed, Wye Street, HEREFORD, Herefordshire, HR2 7RB                                 ",RRA Architects Limited,jane@rraarchitects.com,01432 278707,www.rraarchitects.com
